board_ascii,legal_moves_uci,side_to_move
"r-b-k--r
-pqpbppp
--n-pn--
-NpP----
p-P--B--
P-----P-
-P--PPBP
--RQK-NR",h8g8 h8f8 e8f8 e8d8 a8b8 a8a7 a8a6 a8a5 e7f8 e7d8 e7d6 c7d8 c7b8 c7d6 c7b6 c7e5 c7a5 c7f4 f6g8 f6h5 f6d5 f6g4 f6e4 c6d8 c6b8 c6a7 c6e5 c6a5 c6d4 c6b4 e8g8 e6d5 h7h6 g7g6 d7d6 b7b6 e6e5 h7h5 g7g5,black
"rnbqr-k-
pp--Bpp-
--p----p
---p---n
---P----
--NBP---
PPQ-NPPP
R---K--R",g8h8 e8f8 e8e7 d8e7 d8d7 d8c7 d8d6 d8b6 d8a5 c8d7 c8e6 c8f5 c8g4 c8h3 b8d7 b8a6 h5f6 h5f4 h5g3 g7g6 f7f6 b7b6 a7a6 c6c5 g7g5 f7f5 b7b5 a7a5,black
"-----r--
pp---pk-
--pq--pp
--b-----
-----R--
--P--QPP
PPB--P--
-----K--",f4f7 f4f6 f4f5 f4h4 f4g4 f4e4 f4d4 f4c4 f4b4 f4a4 f3c6 f3h5 f3d5 f3g4 f3e4 f3e3 f3d3 f3g2 f3e2 f3h1 f3d1 c2g6 c2f5 c2e4 c2a4 c2d3 c2b3 c2d1 c2b1 f1g2 f1e2 f1g1 f1e1 h3h4 g3g4 c3c4 b2b3 a2a3 b2b4 a2a4,white
"r--q-rk-
-pp--pp-
p-n-bn-p
--bppN--
-PBPP---
--P--N--
P----PPP
R-BQK--R",g8h8 g8h7 f8e8 d8e8 d8c8 d8b8 d8e7 d8d7 d8d6 a8c8 a8b8 a8a7 f6e8 f6h7 f6d7 f6h5 f6g4 f6e4 e6c8 e6d7 e6f5 c6b8 c6e7 c6a7 c6a5 c6d4 c6b4 c5e7 c5a7 c5d6 c5b6 c5d4 c5b4 e5d4 d5e4 d5c4 g7g6 b7b6 h6h5 a6a5 g7g5 b7b5,black
"rn-qkb-r
pp---ppp
--n-p---
--ppP---
---P--b-
--P--N--
PP--BPPP
RNBQ-RK-",f3g5 f3h4 f3d2 f3e1 e2a6 e2b5 e2c4 e2d3 g1h1 f1e1 d1a4 d1d3 d1b3 d1d2 d1c2 d1e1 c1h6 c1g5 c1f4 c1e3 c1d2 b1a3 b1d2 d4c5 c3c4 h2h3 g2g3 b2b3 a2a3 h2h4 b2b4 a2a4,white
"r-b-kb-r
ppqp-ppp
--n-pn--
--------
--------
--N-PN--
PPP--PPP
R-BQKB-R",f3g5 f3e5 f3h4 f3d4 f3d2 f3g1 c3d5 c3b5 c3e4 c3a4 c3e2 c3b1 h1g1 f1a6 f1b5 f1c4 f1d3 f1e2 e1e2 e1d2 d1d7 d1d6 d1d5 d1d4 d1d3 d1e2 d1d2 c1d2 a1b1 e3e4 h2h3 g2g3 b2b3 a2a3 h2h4 g2g4 b2b4 a2a4,white
"----b---
----k--p
-N----p-
--P--p--
-P---P--
--K----P
--------
--------",b6c8 b6a8 b6d7 b6d5 b6c4 b6a4 c3d4 c3c4 c3d3 c3b3 c3d2 c3c2 c3b2 c5c6 b4b5 h3h4,white
"----r-k-
------pp
-p--p-r-
-N---p--
--P-n--q
-P---Q-P
P----PP-
---RR-K-",b5c7 b5a7 b5d6 b5d4 b5c3 b5a3 f3h5 f3f5 f3g4 f3f4 f3e4 f3g3 f3e3 f3d3 f3c3 f3e2 g1h2 g1h1 g1f1 e1e4 e1e3 e1e2 e1f1 d1d8 d1d7 d1d6 d1d5 d1d4 d1d3 d1d2 d1c1 d1b1 d1a1 c4c5 b3b4 g2g3 a2a3 g2g4 a2a4,white
"r-----k-
-p----pp
p-------
--b---P-
--------
-KP--q--
-----p--
R----Q--",b3c4 b3a4 b3c2 b3b2 b3a2 f1a6 f1b5 f1c4 f1h3 f1d3 f1g2 f1f2 f1e2 f1h1 f1g1 f1e1 f1d1 f1c1 f1b1 a1a6 a1a5 a1a4 a1a3 a1a2 a1e1 a1d1 a1c1 a1b1 g5g6,white
"r--k---r
p-p---pp
-bppQ---
----p---
-P--P--q
--P-----
P--P-P-P
RNBR--K-",e6g8 e6e8 e6c8 e6f7 e6e7 e6d7 e6h6 e6g6 e6f6 e6d6 e6f5 e6e5 e6d5 e6g4 e6c4 e6h3 e6b3 g1g2 g1h1 g1f1 d1f1 d1e1 c1a3 c1b2 b1a3 b4b5 c3c4 h2h3 d2d3 a2a3 d2d4 a2a4,white
