board_ascii,legal_moves_uci,side_to_move
"r-bqkbnr
-p--ppp-
p-np---p
--------
---NP---
--NB----
PPP--PPP
R-BQK--R",d4e6 d4c6 d4f5 d4b5 d4f3 d4b3 d4e2 d3a6 d3b5 d3c4 d3e2 d3f1 c3d5 c3b5 c3a4 c3e2 c3b1 h1g1 h1f1 e1e2 e1d2 e1f1 d1h5 d1g4 d1f3 d1e2 d1d2 c1h6 c1g5 c1f4 c1e3 c1d2 a1b1 e1g1 e4e5 h2h3 g2g3 f2f3 b2b3 a2a3 h2h4 g2g4 f2f4 b2b4 a2a4,white
"r-bq-rn-
--p--pk-
pbpp----
----p-B-
---PPP--
--P-----
PP----PP
RN--QRK-",g5d8 g5e7 g5h6 g5f6 g5h4 g1f2 g1h1 f1f3 f1f2 e1h4 e1g3 e1e3 e1f2 e1e2 e1d2 e1d1 e1c1 b1a3 b1d2 f4e5 f4f5 c3c4 h2h3 g2g3 b2b3 a2a3 h2h4 g2g4 b2b4 a2a4,white
"-n---rk-
----q---
-p--p---
r-p--p--
---PPR-p
----P---
-P--Q-PP
--R-K---",g8h8 g8h7 g8g7 g8f7 f8e8 f8d8 f8c8 f8f7 f8f6 b8d7 b8c6 b8a6 e7e8 e7d8 e7h7 e7g7 e7f7 e7d7 e7c7 e7b7 e7a7 e7f6 e7d6 e7g5 a5a8 a5a7 a5a6 a5b5 a5a4 a5a3 a5a2 a5a1 f5e4 c5d4 e6e5 b6b5 c5c4 h4h3,black
"-----rk-
pR-----p
---p--p-
--pPp---
--q-----
------P-
P--Q-P--
------K-",g8h8 f8e8 f8d8 f8c8 f8b8 f8a8 f8f7 f8f6 f8f5 f8f4 f8f3 f8f2 c4a6 c4d5 c4b5 c4h4 c4g4 c4f4 c4e4 c4d4 c4b4 c4a4 c4d3 c4c3 c4b3 c4e2 c4c2 c4a2 c4f1 c4c1 h7h6 a7a6 g6g5 e5e4 h7h5 a7a5,black
"--rq--k-
-----rp-
----pb-Q
---pN--P
p-bP----
PB------
-P--NP--
K-----RR",g8f8 d8f8 d8e8 d8e7 d8d7 d8c7 d8d6 d8b6 d8a5 c8b8 c8a8 c8c7 c8c6 c8c5 f7f8 f7e7 f7d7 f7c7 f7b7 f7a7 f6e7 f6g5 f6e5 f6h4 c4a6 c4b5 c4d3 c4b3 c4e2 a4b3 g7g6 g7g5,black
"--------
p-----k-
--------
--------
N-------
-------R
-p---KPP
-r------",g7g8 g7f8 g7f7 g7g6 g7f6 b1h1 b1g1 b1f1 b1e1 b1d1 b1c1 b1a1 a7a6 a7a5,black
"--kr---r
--p--ppp
p---pn--
P-------
-QNP----
-R--P-P-
-P--KPP-
-------q",h8g8 h8f8 h8e8 d8g8 d8f8 d8e8 d8d7 d8d6 d8d5 d8d4 c8d7 f6g8 f6e8 f6d7 f6h5 f6d5 f6g4 f6e4 h1h6 h1h5 h1h4 h1h3 h1h2 h1g2 h1g1 h1f1 h1e1 h1d1 h1c1 h1b1 h1a1 h7h6 g7g6 c7c6 e6e5 h7h5 g7g5 c7c5,black
"----r-k-
p----pp-
-------p
--qNr--n
---R----
-P---P-P
P--Q--P-
---R---K",d5e7 d5c7 d5f6 d5b6 d5f4 d5b4 d5e3 d5c3 d4h4 d4g4 d4f4 d4e4 d4c4 d4b4 d4a4 d4d3 d2h6 d2g5 d2a5 d2f4 d2b4 d2e3 d2d3 d2c3 d2f2 d2e2 d2c2 d2b2 d2e1 d2c1 h1h2 h1g1 d1g1 d1f1 d1e1 d1c1 d1b1 d1a1 h3h4 f3f4 b3b4 g2g3 a2a3 g2g4 a2a4,white
"--------
-p---kp-
P------p
---Nb---
P-P-----
--P-----
------P-
-----K--",f7g8 f7f8 f7e8 f7g6 f7e6 e5b8 e5c7 e5f6 e5d6 e5f4 e5d4 e5g3 e5c3 e5h2 b7a6 g7g6 b7b6 h6h5 g7g5 b7b5,black
"rnbq-rk-
p----pbp
--pp-np-
-p--P---
----P---
--N-B-PP
PPP-NPB-
R--QK--R",g8h8 f8e8 d8e8 d8e7 d8d7 d8c7 d8b6 d8a5 c8d7 c8b7 c8e6 c8a6 c8f5 c8g4 c8h3 b8d7 b8a6 g7h8 g7h6 f6e8 f6d7 f6h5 f6d5 f6g4 f6e4 d6e5 h7h6 a7a6 g6g5 d6d5 c6c5 b5b4 h7h5 a7a5,black
"--------
p-p-Q---
----b-kp
----P-p-
---b----
-P-----P
P--Nn-PK
R-B-q---",e7f8 e7e8 e7d8 e7h7 e7g7 e7f7 e7d7 e7c7 e7f6 e7e6 e7d6 e7g5 e7c5 e7b4 e7a3 d2e4 d2c4 d2f3 d2f1 d2b1 c1a3 c1b2 a1b1 h3h4 b3b4 g2g3 a2a3 g2g4 a2a4,white
"r----rk-
pp--nppp
-q--pn--
-N-p----
P-------
-N------
-PPQ-PPP
R----RK-",b5c7 b5a7 b5d6 b5d4 b5c3 b5a3 b3c5 b3a5 b3d4 b3c1 d2h6 d2g5 d2d5 d2a5 d2f4 d2d4 d2b4 d2e3 d2d3 d2c3 d2e2 d2e1 d2d1 d2c1 g1h1 f1e1 f1d1 f1c1 f1b1 a1a3 a1a2 a1e1 a1d1 a1c1 a1b1 a4a5 h2h3 g2g3 c2c3 h2h4 g2g4 c2c4,white
"-R------
p-------
--pPp-k-
---pP-p-
-N-P-pP-
P---r---
-------q
---K-Q--",b8h8 b8g8 b8f8 b8e8 b8d8 b8c8 b8a8 b8b7 b8b6 b8b5 b4c6 b4a6 b4d5 b4d3 b4c2 b4a2 f1a6 f1b5 f1f4 f1c4 f1h3 f1f3 f1d3 f1g2 f1f2 f1e2 f1h1 f1g1 f1e1 d1c1 d6d7 a3a4,white
"-----rk-
p---qppb
-p--p---
---pP---
P---nPP-
---B---p
--Q--B-P
--R---K-",g8h8 f8e8 f8d8 f8c8 f8b8 f8a8 h7g6 h7f5 e7e8 e7d8 e7d7 e7c7 e7b7 e7f6 e7d6 e7g5 e7c5 e7h4 e7b4 e7a3 e4f6 e4d6 e4g5 e4c5 e4g3 e4c3 e4f2 e4d2 g7g6 f7f6 a7a6 b6b5 d5d4 g7g5 f7f5 a7a5,black
"----k--r
p----p-p
-q-b-np-
-ppNp---
----P---
---PBN--
P-P-QPPP
R---K--R",h8g8 h8f8 e8f8 e8d8 e8d7 f6g8 f6d7 f6h5 f6d5 f6g4 f6e4 d6f8 d6b8 d6e7 d6c7 b6d8 b6b8 b6c7 b6b7 b6c6 b6a6 b6a5 e8g8 h7h6 a7a6 g6g5 c5c4 b5b4 h7h5 a7a5,black
"----r--k
pp-b---p
--p--pp-
---p-P-n
---P-qQ-
P-NB---P
-PP--P--
R------K",h8g8 h8g7 e8g8 e8f8 e8d8 e8c8 e8b8 e8a8 e8e7 e8e6 e8e5 e8e4 e8e3 e8e2 e8e1 d7c8 d7e6 d7f5 h5g7 h5g3 f4b8 f4c7 f4h6 f4d6 f4g5 f4f5 f4e5 f4g4 f4e4 f4d4 f4g3 f4f3 f4e3 f4h2 f4f2 f4d2 f4c1 g6f5 h7h6 b7b6 a7a6 g6g5 c6c5 b7b5 a7a5,black
"--------
-----pk-
------p-
n--B---p
-R------
-----rPP
--------
------K-",g7h8 g7g8 g7f8 g7h7 g7h6 g7f6 a5b7 a5c6 a5c4 a5b3 f3f6 f3f5 f3f4 f3g3 f3e3 f3d3 f3c3 f3b3 f3a3 f3f2 f3f1 f7f6 g6g5 h5h4 f7f5,black
"r---q-k-
--p--ppp
-----n--
ppbP----
--------
-BPb--Q-
PP---PPP
RNB---K-",g3g7 g3c7 g3g6 g3d6 g3g5 g3e5 g3h4 g3g4 g3f4 g3h3 g3f3 g3e3 g3d3 b3c4 b3a4 b3c2 b3d1 g1h1 c1h6 c1g5 c1f4 c1e3 c1d2 b1a3 b1d2 d5d6 c3c4 h2h3 a2a3 h2h4 a2a4,white
"q-----k-
-----r--
-p-prp--
p---pNpQ
--P-b---
PP--R--P
---R-PP-
------K-",g8f8 a8f8 a8e8 a8d8 a8c8 a8b8 a8b7 a8a7 a8c6 a8a6 a8d5 f7f8 f7h7 f7g7 f7e7 f7d7 f7c7 f7b7 f7a7 e6e8 e6e7 e4b7 e4c6 e4f5 e4d5 e4f3 e4d3 e4g2 e4c2 e4b1 d6d5 b6b5 g5g4 a5a4,black
"--------
--------
-R---p--
-p---k--
---P--p-
-r--B-P-
-----PK-
--------",b6b8 b6b7 b6f6 b6e6 b6d6 b6c6 b6a6 b6b5 e3h6 e3g5 e3f4 e3d2 e3c1 g2h2 g2h1 g2g1 g2f1 d4d5 f2f3 f2f4,white
"-----r--
p------p
-p--pp-k
-Brp-p--
P-------
------P-
---K---P
--------",f8h8 f8g8 f8e8 f8d8 f8c8 f8b8 f8a8 f8f7 h6g7 h6g6 h6h5 h6g5 c5c8 c5c7 c5c6 c5b5 c5c4 c5c3 c5c2 c5c1 a7a6 e6e5 f5f4 d5d4 a7a5,black
"r--k---r
p-----p-
q----bBp
---p-Q--
-p------
---P--P-
PP-----P
R----RK-",h8g8 h8f8 h8e8 h8h7 d8e7 d8c7 a8c8 a8b8 f6e7 f6g5 f6e5 f6h4 f6d4 f6c3 f6b2 a6c8 a6b7 a6e6 a6d6 a6c6 a6b6 a6b5 a6a5 a6c4 a6a4 a6d3 a6a3 a6a2 h6h5 d5d4 b4b3,black
"--r--rk-
ppq-bp--
----p-pB
---pn--p
-----Q--
--N-----
PP---PP-
--RR--K-",g8h8 g8h7 f8e8 f8d8 c8e8 c8d8 c8b8 c8a8 e7d8 e7f6 e7d6 e7g5 e7c5 e7h4 e7b4 e7a3 c7d8 c7b8 c7d7 c7d6 c7c6 c7b6 c7c5 c7a5 c7c4 c7c3 e5d7 e5c6 e5g4 e5c4 e5f3 e5d3 f7f6 b7b6 a7a6 g6g5 h5h4 d5d4 f7f5 b7b5 a7a5,black
"r--q-rk-
pp---ppp
--n--n--
-----b--
---P----
P---PP--
------PP
R-BQKBNR",g1h3 g1e2 f1a6 f1b5 f1c4 f1d3 f1e2 e1f2 e1e2 e1d2 d1a4 d1d3 d1b3 d1e2 d1d2 d1c2 c1d2 c1b2 a1a2 a1b1 d4d5 f3f4 e3e4 a3a4 h2h3 g2g3 h2h4 g2g4,white
"--------
p-k-----
--------
r-p-----
--------
------K-
--------
--R-----",c7d8 c7c8 c7b8 c7d7 c7b7 c7d6 c7c6 c7b6 a5a6 a5b5 a5a4 a5a3 a5a2 a5a1 a7a6 c5c4,black
"------k-
pp--p--R
----P-p-
---p----
----r---
--P--r--
PP-K----
-------R",g8f8 e4e6 e4e5 e4h4 e4g4 e4f4 e4d4 e4c4 e4b4 e4a4 e4e3 e4e2 e4e1 f3f8 f3f7 f3f6 f3f5 f3f4 f3h3 f3g3 f3e3 f3d3 f3c3 f3f2 f3f1 b7b6 a7a6 g6g5 d5d4 b7b5 a7a5,black
"--------
---Q-pkp
--N---p-
---p----
Bp-P----
------P-
PP--q-PK
--r-----",d7e8 d7d8 d7c8 d7f7 d7e7 d7c7 d7b7 d7a7 d7e6 d7d6 d7f5 d7d5 d7g4 d7h3 c6d8 c6b8 c6e7 c6a7 c6e5 c6a5 c6b4 a4b5 a4b3 a4c2 a4d1 h2h3 g3g4 b2b3 a2a3,white
"--rqr-k-
----bpp-
pB-p----
-p-Qp---
----P-Pp
-------P
PPP--PB-
--R--RK-",g8h8 g8f8 g8h7 e8f8 d8d7 d8c7 d8b6 c8b8 c8a8 c8c7 c8c6 c8c5 c8c4 c8c3 c8c2 e7f8 e7f6 e7g5 g7g6 a6a5 b5b4 g7g5,black
"--------
----n---
---N----
--k--p--
P-------
-----P--
---K--PP
--------",d6e8 d6c8 d6f7 d6b7 d6f5 d6b5 d6e4 d6c4 d2e3 d2d3 d2c3 d2e2 d2c2 d2e1 d2d1 d2c1 a4a5 f3f4 h2h3 g2g3 h2h4 g2g4,white
"r---k--r
pp---ppp
---b-q--
--p-pb--
--PpQ---
-P---P-P
PB-P-Pn-
RN---K-R",e4b7 e4c6 e4f5 e4e5 e4d5 e4h4 e4g4 e4f4 e4d4 e4e3 e4d3 e4e2 e4c2 e4e1 b2d4 b2c3 b2a3 b2c1 h1h2 h1g1 f1g2 f1e2 f1g1 b1c3 b1a3 h3h4 f3f4 b3b4 d2d3 a2a3 a2a4,white
"--k-----
-pp--p--
p-p--P--
--------
----q-PP
-Q---RK-
PP-----r
------b-",c8d8 c8b8 c8d7 e4e8 e4h7 e4e7 e4g6 e4e6 e4f5 e4e5 e4d5 e4g4 e4f4 e4d4 e4c4 e4b4 e4a4 e4f3 e4e3 e4d3 e4e2 e4c2 e4e1 e4b1 h2h4 h2h3 h2g2 h2f2 h2e2 h2d2 h2c2 h2b2 h2h1 g1a7 g1b6 g1c5 g1d4 g1e3 g1f2 b7b6 c6c5 a6a5 b7b5,black
"r----k-r
p----p--
----bP-p
-p-pNp-Q
--pn-P--
----R---
P-q---PP
----R--K",h8g8 h8h7 f8g8 f8e8 a8e8 a8d8 a8c8 a8b8 e6c8 e6d7 d4c6 d4f3 d4b3 d4e2 c2e4 c2a4 c2d3 c2c3 c2b3 c2g2 c2f2 c2e2 c2d2 c2b2 c2a2 c2d1 c2c1 c2b1 a7a6 b5b4 c4c3 a7a5,black
"--r-----
p----pkp
-qpr-np-
--R-----
P-------
RPQ---P-
---P-PBP
------K-",c5c6 c5h5 c5g5 c5f5 c5e5 c5d5 c5b5 c5a5 c5c4 c3f6 c3e5 c3a5 c3d4 c3c4 c3b4 c3f3 c3e3 c3d3 c3c2 c3b2 c3c1 c3a1 a3a2 a3a1 g2c6 g2d5 g2e4 g2h3 g2f3 g2h1 g2f1 g1h1 g1f1 a4a5 g3g4 b3b4 h2h3 f2f3 d2d3 h2h4 f2f4 d2d4,white
"--r-nrk-
-p-qb-pp
pB-pb---
----p---
--P-p---
-N-B-P--
PP---QPP
--RR--K-",b6d8 b6c7 b6a7 b6c5 b6a5 b6d4 b6e3 d3e4 d3e2 d3c2 d3f1 d3b1 b3c5 b3a5 b3d4 b3d2 b3a1 f2c5 f2h4 f2d4 f2g3 f2e3 f2e2 f2d2 f2c2 f2f1 f2e1 g1h1 g1f1 d1d2 d1f1 d1e1 c1c3 c1c2 c1b1 c1a1 f3e4 c4c5 f3f4 h2h3 g2g3 a2a3 h2h4 g2g4 a2a4,white
"-R---bk-
---bpp--
p--p-np-
---P--Np
--r-PQ-P
--N--P--
P----qP-
-R-----K",b8f8 b8e8 b8d8 b8c8 b8a8 b8b7 b8b6 b8b5 b8b4 b8b3 b8b2 g5h7 g5f7 g5e6 g5h3 f4f6 f4d6 f4f5 f4e5 f4g4 f4g3 f4e3 f4h2 f4d2 f4c1 c3b5 c3a4 c3e2 c3d1 h1h2 b1b7 b1b6 b1b5 b1b4 b1b3 b1b2 b1g1 b1f1 b1e1 b1d1 b1c1 b1a1 e4e5 g2g3 a2a3 g2g4 a2a4,white
"r-bqk--r
-p--bppp
p-n-p---
--p-Pn--
P-B-----
--NP-N--
-PP---PP
R-BQ-RK-",h8g8 h8f8 e8f8 e8d7 d8d7 d8c7 d8d6 d8b6 d8d5 d8a5 d8d4 d8d3 c8d7 a8b8 a8a7 e7f8 e7f6 e7d6 e7g5 e7h4 c6b8 c6a7 c6e5 c6a5 c6d4 c6b4 f5h6 f5d6 f5h4 f5d4 f5g3 f5e3 e8g8 h7h6 g7g6 f7f6 b7b6 a6a5 h7h5 g7g5 b7b5,black
